PostalCode,n,mean,std,ci_lower,ci_upper
4250,180,124.67743859649086,203.03775351378025,95.01569896458778,154.33917822839393
2028,70,124.32189240959511,231.14816150194707,70.172012867649,178.4717719515412
0187,220,124.24584928229626,207.29608591581456,96.8530867300286,151.63861183456393
1900,60,124.11387832484395,240.68093809309892,63.21319834587946,185.01455830380843
6875,96,124.05279057017505,233.7170729204082,77.29963878890746,170.80594235144264
1930,50,123.9969561403504,228.9041216467999,60.5479707304134,187.44594155028742
5920,144,123.91393274853759,210.14200092257067,89.59073926451771,158.23712623255747
9600,96,123.77466934697833,227.07707748440046,78.34979329057538,169.19954540338128
2930,121,123.48906686871773,237.20499645090553,81.22344931928365,165.7546844181518
3830,80,123.47089399405726,260.99128540090317,66.2786569362934,180.66313105182113
2375,60,123.33891081871307,189.06160219111692,75.49972495473855,171.1780966826876
1687,121,123.3116775409595,201.4238281830515,87.42161361016122,159.20174147175777
5040,169,123.17027510718606,240.39663853380483,86.92585883593549,159.41469137843663
0939,70,123.0702738990328,219.30260878977032,71.69539048210126,174.44515731596434
7690,152,123.0662082998239,236.86083654770408,85.41078481513388,160.72163178451393
4691,312,122.81220001124574,230.99030342180725,97.18078847513453,148.44361154735694
7620,212,122.40782618445037,201.7411133145392,95.25077854985932,149.56487381904142
0942,189,122.28401827447914,216.1491930066408,91.46783930338644,153.10019724557182
1821,209,121.95936526375328,230.95101664883956,90.6479421662802,153.27078836122635
1129,305,121.86580903695824,218.5616929759154,97.3367890137639,146.39482906015257
0264,170,121.23200860547918,212.61008140467013,89.2713688176584,153.19264839329995
1389,55,121.16603168527338,247.15925521322063,55.845215223735266,186.4868481468115
5209,272,120.86961671181587,265.25350579098773,89.34623854996894,152.3929948736628
1185,192,120.67435802207098,247.58802959610748,85.65282921588776,155.69588682825417
3968,108,120.64567982456091,207.69785506636615,81.47363839722063,159.81772125190122
1940,72,120.48915200748246,222.08851981552363,69.1893212016375,171.78898281332744
1837,178,119.99005162132833,231.3270244908424,86.00621228743475,153.97389095522192
1520,397,119.83596285739496,262.5062620267306,94.01333206384821,145.6585936509417
1781,80,119.78013221561923,217.6952783030582,72.07555103031467,167.4847134009238
0168,362,119.69356144050761,222.7262157245462,96.74935063201868,142.63777224899653
5170,188,119.68178708395864,228.98053059017525,86.94954879919374,152.41402536872354
6139,150,119.66434057724916,213.8642358275368,85.43893477941185,153.88974637508647
7395,108,119.37224454505397,194.14454942191202,82.75637130737707,155.98811778273088
1833,60,119.31170632899418,213.12892935566006,65.38264645501427,173.2407662029741
