group_a,group_b,p1,p2,delta,z_stat,pval_raw,ci_low,ci_high,n_a,n_b,pval_adj,reject_H0
Gauteng,North West,0.005162346022543214,0.003719417810888763,0.001442928211654451,5.355684590871531,8.523307999892609e-08,0.0009525667329928057,0.001933289690316096,240782,89799,1.1449042691125152e-06,True
Gauteng,Northern Cape,0.005162346022543214,0.0021959923140269007,0.002966353708516313,2.4902911046309697,0.01276385036110568,0.0014195915599995446,0.0045131158570330815,240782,3643,0.027029330176459088,True
Gauteng,Western Cape,0.005162346022543214,0.0036792823332437627,0.001483063689299451,5.674428628777079,1.3915231619179873e-08,0.0010061236869543344,0.0019600036916445677,240782,96758,5.009483382904755e-07,True
KwaZulu-Natal,Limpopo,0.00404840208765282,0.003664834249541896,0.00038356783811092443,0.7573207843877551,0.4488577017720261,-0.0005741868276484824,0.0013413225038703311,111896,18009,0.5771027594211764,False
KwaZulu-Natal,Mpumalanga,0.00404840208765282,0.0039478255376938385,0.00010057654995898179,0.24951242288817044,0.8029644326481917,-0.0006839575395269486,0.0008851106394449122,111896,31663,0.902771617549471,False
KwaZulu-Natal,North West,0.00404840208765282,0.003719417810888763,0.00032898427676405747,1.1778222601710548,0.23886747232929284,-0.00021593817442644328,0.0008739067279545582,111896,89799,0.33073957707132856,False
KwaZulu-Natal,Northern Cape,0.00404840208765282,0.0021959923140269007,0.0018524097736259196,1.7453865182445107,0.08091761082866233,0.00028749468259368135,0.003417324864658158,111896,3643,0.1533175784122023,False
KwaZulu-Natal,Western Cape,0.00404840208765282,0.0036792823332437627,0.0003691197544090576,1.3529673506017286,0.1760660610717102,-0.0001637572144056852,0.0009019967232238004,111896,96758,0.2640990916075653,False
Limpopo,Mpumalanga,0.003664834249541896,0.0039478255376938385,-0.00028299128815194264,-0.4899071764559254,0.6241995845648192,-0.001403680707389777,0.0008376981310858917,18009,31663,0.7248769369139835,False
Limpopo,North West,0.003664834249541896,0.003719417810888763,-5.458356134686697e-05,-0.10995616933652295,0.9124441358681216,-0.0010227733746776928,0.000913606251983959,18009,89799,0.9385139683214965,False
Limpopo,Northern Cape,0.003664834249541896,0.0021959923140269007,0.0014688419355149951,1.3854058041745978,0.165928417226212,-0.00028882989931838885,0.003226513770348379,18009,3643,0.25971404435407097,False
Limpopo,Western Cape,0.003664834249541896,0.0036792823332437627,-1.4448083701866857e-05,-0.029413194122385238,0.9765350499700816,-0.0009759099397935707,0.000947013772389837,18009,96758,0.9765350499700816,False
Mpumalanga,North West,0.0039478255376938385,0.003719417810888763,0.00022840772680507567,0.5695585484635163,0.568977149654694,-0.0005688320441667348,0.0010256474977768863,31663,89799,0.6827725795856329,False
Mpumalanga,Northern Cape,0.0039478255376938385,0.0021959923140269007,0.0017518332236669378,1.6345270287788376,0.10214823565155375,8.221949086879127e-05,0.003421446956465084,31663,3643,0.18386682417279673,False
Mpumalanga,Western Cape,0.0039478255376938385,0.0036792823332437627,0.0002685432044500758,0.6790096573124463,0.49713174293929885,-0.0005205123313019457,0.0010575987402020974,31663,96758,0.617129060200509,False
North West,Northern Cape,0.003719417810888763,0.0021959923140269007,0.0015234254968618621,1.4926903489614605,0.1355182608167302,-4.7897753457468596e-05,0.003094748747181193,89799,3643,0.23231701854296608,False
North West,Western Cape,0.003719417810888763,0.0036792823332437627,4.013547764500011e-05,0.14268808589247062,0.8865365265118423,-0.0005112766901087187,0.0005915476453987189,89799,96758,0.9385139683214965,False
Northern Cape,Western Cape,0.0021959923140269007,0.0036792823332437627,-0.001483290019216862,-1.4623020851478232,0.14365844739884415,-0.003050476716160092,8.389667772636784e-05,3643,96758,0.23507745937992677,False
